"from","to"
"Serebrov, Aleksandr","Malyshev, Yuri"
"Serebrov, Aleksandr","Kizim, Leonid"
"Serebrov, Aleksandr","Strekalov, Gennadi"
"Serebrov, Aleksandr","Savitskaya, Svetlana"
"Serebrov, Aleksandr","Aleksandrov, Aleksandr"
"Serebrov, Aleksandr","Solovyov, Vladimir"
"Serebrov, Aleksandr","Atkov, Oleg"
"Serebrov, Aleksandr","Rakesh Sharma"
"Serebrov, Aleksandr","Volk, Igor"
"Serebrov, Aleksandr","Vasyutin, Vladimir"
"Serebrov, Aleksandr","Volkov, Alexander"
"Lebedev, Valentin","Savinykh, Viktor"
"Lebedev, Valentin","Berezovoy, Anatoly"
"Lebedev, Valentin","Chrétien, Jean-Loup"
"Lebedev, Valentin","Serebrov, Aleksandr"
"Lebedev, Valentin","Dzhanibekov, Vladimir"
"Lebedev, Valentin","Ivanchenkov, Aleksandr"
"Lebedev, Valentin","Lyakhov, Vladimir"
"Lebedev, Valentin","Popov, Leonid"
"Lebedev, Valentin","Malyshev, Yuri"
"Lebedev, Valentin","Kizim, Leonid"
"Lebedev, Valentin","Strekalov, Gennadi"
"Lebedev, Valentin","Savitskaya, Svetlana"
"Lebedev, Valentin","Aleksandrov, Aleksandr"
"Lebedev, Valentin","Solovyov, Vladimir"
"Lebedev, Valentin","Atkov, Oleg"
"Lebedev, Valentin","Rakesh Sharma"
"Lebedev, Valentin","Volk, Igor"
"Lebedev, Valentin","Vasyutin, Vladimir"
"Lebedev, Valentin","Volkov, Alexander"
"Dzhanibekov, Vladimir","Savinykh, Viktor"
"Dzhanibekov, Vladimir","Berezovoy, Anatoly"
"Dzhanibekov, Vladimir","Chrétien, Jean-Loup"
"Dzhanibekov, Vladimir","Serebrov, Aleksandr"
"Dzhanibekov, Vladimir","Lebedev, Valentin"
"Dzhanibekov, Vladimir","Ivanchenkov, Aleksandr"
"Dzhanibekov, Vladimir","Lyakhov, Vladimir"
"Dzhanibekov, Vladimir","Popov, Leonid"
"Dzhanibekov, Vladimir","Malyshev, Yuri"
"Dzhanibekov, Vladimir","Kizim, Leonid"
"Dzhanibekov, Vladimir","Strekalov, Gennadi"
"Dzhanibekov, Vladimir","Savitskaya, Svetlana"
"Dzhanibekov, Vladimir","Aleksandrov, Aleksandr"
"Dzhanibekov, Vladimir","Solovyov, Vladimir"
"Dzhanibekov, Vladimir","Atkov, Oleg"
"Dzhanibekov, Vladimir","Rakesh Sharma"
"Dzhanibekov, Vladimir","Volk, Igor"
"Dzhanibekov, Vladimir","Vasyutin, Vladimir"
"Dzhanibekov, Vladimir","Volkov, Alexander"
"Ivanchenkov, Aleksandr","Savinykh, Viktor"
"Ivanchenkov, Aleksandr","Berezovoy, Anatoly"
"Ivanchenkov, Aleksandr","Chrétien, Jean-Loup"
"Ivanchenkov, Aleksandr","Serebrov, Aleksandr"
"Ivanchenkov, Aleksandr","Lebedev, Valentin"
"Ivanchenkov, Aleksandr","Dzhanibekov, Vladimir"
"Ivanchenkov, Aleksandr","Lyakhov, Vladimir"
"Ivanchenkov, Aleksandr","Popov, Leonid"
"Ivanchenkov, Aleksandr","Malyshev, Yuri"
"Ivanchenkov, Aleksandr","Kizim, Leonid"
"Ivanchenkov, Aleksandr","Strekalov, Gennadi"
"Ivanchenkov, Aleksandr","Savitskaya, Svetlana"
"Ivanchenkov, Aleksandr","Aleksandrov, Aleksandr"
"Ivanchenkov, Aleksandr","Solovyov, Vladimir"
"Ivanchenkov, Aleksandr","Atkov, Oleg"
"Ivanchenkov, Aleksandr","Rakesh Sharma"
"Ivanchenkov, Aleksandr","Volk, Igor"
"Ivanchenkov, Aleksandr","Vasyutin, Vladimir"
"Ivanchenkov, Aleksandr","Volkov, Alexander"
"Lyakhov, Vladimir","Savinykh, Viktor"
"Lyakhov, Vladimir","Berezovoy, Anatoly"
"Lyakhov, Vladimir","Chrétien, Jean-Loup"
"Lyakhov, Vladimir","Serebrov, Aleksandr"
"Lyakhov, Vladimir","Lebedev, Valentin"
"Lyakhov, Vladimir","Dzhanibekov, Vladimir"
"Lyakhov, Vladimir","Ivanchenkov, Aleksandr"
"Lyakhov, Vladimir","Popov, Leonid"
"Lyakhov, Vladimir","Malyshev, Yuri"
"Lyakhov, Vladimir","Kizim, Leonid"
"Lyakhov, Vladimir","Strekalov, Gennadi"
"Lyakhov, Vladimir","Savitskaya, Svetlana"
"Lyakhov, Vladimir","Aleksandrov, Aleksandr"
"Lyakhov, Vladimir","Solovyov, Vladimir"
"Lyakhov, Vladimir","Atkov, Oleg"
"Lyakhov, Vladimir","Rakesh Sharma"
"Lyakhov, Vladimir","Volk, Igor"
"Lyakhov, Vladimir","Vasyutin, Vladimir"
"Lyakhov, Vladimir","Volkov, Alexander"
"Popov, Leonid","Savinykh, Viktor"
"Popov, Leonid","Berezovoy, Anatoly"
"Popov, Leonid","Chrétien, Jean-Loup"
"Popov, Leonid","Serebrov, Aleksandr"
"Popov, Leonid","Lebedev, Valentin"
"Popov, Leonid","Dzhanibekov, Vladimir"
"Popov, Leonid","Ivanchenkov, Aleksandr"
"Popov, Leonid","Lyakhov, Vladimir"
"Popov, Leonid","Malyshev, Yuri"
"Popov, Leonid","Kizim, Leonid"
"Popov, Leonid","Strekalov, Gennadi"
"Popov, Leonid","Savitskaya, Svetlana"
"Popov, Leonid","Aleksandrov, Aleksandr"
"Popov, Leonid","Solovyov, Vladimir"
"Popov, Leonid","Atkov, Oleg"
"Popov, Leonid","Rakesh Sharma"
"Popov, Leonid","Volk, Igor"
"Popov, Leonid","Vasyutin, Vladimir"
"Popov, Leonid","Volkov, Alexander"
"Malyshev, Yuri","Savinykh, Viktor"
"Malyshev, Yuri","Berezovoy, Anatoly"
"Malyshev, Yuri","Chrétien, Jean-Loup"
"Malyshev, Yuri","Serebrov, Aleksandr"
"Malyshev, Yuri","Lebedev, Valentin"
"Malyshev, Yuri","Dzhanibekov, Vladimir"
"Malyshev, Yuri","Ivanchenkov, Aleksandr"
"Malyshev, Yuri","Lyakhov, Vladimir"
"Malyshev, Yuri","Popov, Leonid"
"Malyshev, Yuri","Kizim, Leonid"
"Malyshev, Yuri","Strekalov, Gennadi"
"Malyshev, Yuri","Savitskaya, Svetlana"
"Malyshev, Yuri","Aleksandrov, Aleksandr"
"Malyshev, Yuri","Solovyov, Vladimir"
"Malyshev, Yuri","Atkov, Oleg"
"Malyshev, Yuri","Rakesh Sharma"
"Malyshev, Yuri","Volk, Igor"
"Malyshev, Yuri","Vasyutin, Vladimir"
"Malyshev, Yuri","Volkov, Alexander"
"Kizim, Leonid","Savinykh, Viktor"
"Kizim, Leonid","Berezovoy, Anatoly"
"Kizim, Leonid","Chrétien, Jean-Loup"
"Kizim, Leonid","Serebrov, Aleksandr"
"Kizim, Leonid","Lebedev, Valentin"
"Kizim, Leonid","Dzhanibekov, Vladimir"
"Kizim, Leonid","Ivanchenkov, Aleksandr"
"Kizim, Leonid","Lyakhov, Vladimir"
"Kizim, Leonid","Popov, Leonid"
"Kizim, Leonid","Malyshev, Yuri"
"Kizim, Leonid","Strekalov, Gennadi"
"Kizim, Leonid","Savitskaya, Svetlana"
"Kizim, Leonid","Aleksandrov, Aleksandr"
"Kizim, Leonid","Solovyov, Vladimir"
"Kizim, Leonid","Atkov, Oleg"
"Kizim, Leonid","Rakesh Sharma"
"Kizim, Leonid","Volk, Igor"
"Kizim, Leonid","Vasyutin, Vladimir"
"Kizim, Leonid","Volkov, Alexander"
"Strekalov, Gennadi","Savinykh, Viktor"
"Strekalov, Gennadi","Berezovoy, Anatoly"
"Strekalov, Gennadi","Chrétien, Jean-Loup"
"Strekalov, Gennadi","Serebrov, Aleksandr"
"Strekalov, Gennadi","Lebedev, Valentin"
"Strekalov, Gennadi","Dzhanibekov, Vladimir"
"Strekalov, Gennadi","Ivanchenkov, Aleksandr"
"Strekalov, Gennadi","Lyakhov, Vladimir"
"Strekalov, Gennadi","Popov, Leonid"
"Strekalov, Gennadi","Malyshev, Yuri"
"Strekalov, Gennadi","Kizim, Leonid"
"Strekalov, Gennadi","Savitskaya, Svetlana"
"Strekalov, Gennadi","Aleksandrov, Aleksandr"
"Strekalov, Gennadi","Solovyov, Vladimir"
"Strekalov, Gennadi","Atkov, Oleg"
"Strekalov, Gennadi","Rakesh Sharma"
"Strekalov, Gennadi","Volk, Igor"
"Strekalov, Gennadi","Vasyutin, Vladimir"
"Strekalov, Gennadi","Volkov, Alexander"
"Savitskaya, Svetlana","Savinykh, Viktor"
"Savitskaya, Svetlana","Berezovoy, Anatoly"
"Savitskaya, Svetlana","Chrétien, Jean-Loup"
"Savitskaya, Svetlana","Serebrov, Aleksandr"
"Savitskaya, Svetlana","Lebedev, Valentin"
"Savitskaya, Svetlana","Dzhanibekov, Vladimir"
"Savitskaya, Svetlana","Ivanchenkov, Aleksandr"
"Savitskaya, Svetlana","Lyakhov, Vladimir"
"Savitskaya, Svetlana","Popov, Leonid"
"Savitskaya, Svetlana","Malyshev, Yuri"
"Savitskaya, Svetlana","Kizim, Leonid"
"Savitskaya, Svetlana","Strekalov, Gennadi"
"Savitskaya, Svetlana","Aleksandrov, Aleksandr"
"Savitskaya, Svetlana","Solovyov, Vladimir"
"Savitskaya, Svetlana","Atkov, Oleg"
"Savitskaya, Svetlana","Rakesh Sharma"
"Savitskaya, Svetlana","Volk, Igor"
"Savitskaya, Svetlana","Vasyutin, Vladimir"
"Savitskaya, Svetlana","Volkov, Alexander"
"Aleksandrov, Aleksandr","Savinykh, Viktor"
"Aleksandrov, Aleksandr","Berezovoy, Anatoly"
"Aleksandrov, Aleksandr","Chrétien, Jean-Loup"
"Aleksandrov, Aleksandr","Serebrov, Aleksandr"
"Aleksandrov, Aleksandr","Lebedev, Valentin"
"Aleksandrov, Aleksandr","Dzhanibekov, Vladimir"
"Aleksandrov, Aleksandr","Ivanchenkov, Aleksandr"
"Aleksandrov, Aleksandr","Lyakhov, Vladimir"
"Aleksandrov, Aleksandr","Popov, Leonid"
"Aleksandrov, Aleksandr","Malyshev, Yuri"
"Aleksandrov, Aleksandr","Kizim, Leonid"
"Aleksandrov, Aleksandr","Strekalov, Gennadi"
"Aleksandrov, Aleksandr","Savitskaya, Svetlana"
"Aleksandrov, Aleksandr","Solovyov, Vladimir"
"Aleksandrov, Aleksandr","Atkov, Oleg"
"Aleksandrov, Aleksandr","Rakesh Sharma"
"Aleksandrov, Aleksandr","Volk, Igor"
"Aleksandrov, Aleksandr","Vasyutin, Vladimir"
"Aleksandrov, Aleksandr","Volkov, Alexander"
"Solovyov, Vladimir","Savinykh, Viktor"
"Solovyov, Vladimir","Berezovoy, Anatoly"
"Solovyov, Vladimir","Chrétien, Jean-Loup"
"Solovyov, Vladimir","Serebrov, Aleksandr"
"Solovyov, Vladimir","Lebedev, Valentin"
"Solovyov, Vladimir","Dzhanibekov, Vladimir"
"Solovyov, Vladimir","Ivanchenkov, Aleksandr"
"Solovyov, Vladimir","Lyakhov, Vladimir"
"Solovyov, Vladimir","Popov, Leonid"
"Solovyov, Vladimir","Malyshev, Yuri"
"Solovyov, Vladimir","Kizim, Leonid"
"Solovyov, Vladimir","Strekalov, Gennadi"
"Solovyov, Vladimir","Savitskaya, Svetlana"
"Solovyov, Vladimir","Aleksandrov, Aleksandr"
"Solovyov, Vladimir","Atkov, Oleg"
"Solovyov, Vladimir","Rakesh Sharma"
"Solovyov, Vladimir","Volk, Igor"
"Solovyov, Vladimir","Vasyutin, Vladimir"
"Solovyov, Vladimir","Volkov, Alexander"
"Atkov, Oleg","Savinykh, Viktor"
"Atkov, Oleg","Berezovoy, Anatoly"
"Atkov, Oleg","Chrétien, Jean-Loup"
"Atkov, Oleg","Serebrov, Aleksandr"
"Atkov, Oleg","Lebedev, Valentin"
"Atkov, Oleg","Dzhanibekov, Vladimir"
"Atkov, Oleg","Ivanchenkov, Aleksandr"
"Atkov, Oleg","Lyakhov, Vladimir"
"Atkov, Oleg","Popov, Leonid"
"Atkov, Oleg","Malyshev, Yuri"
"Atkov, Oleg","Kizim, Leonid"
"Atkov, Oleg","Strekalov, Gennadi"
"Atkov, Oleg","Savitskaya, Svetlana"
"Atkov, Oleg","Aleksandrov, Aleksandr"
"Atkov, Oleg","Solovyov, Vladimir"
"Atkov, Oleg","Rakesh Sharma"
"Atkov, Oleg","Volk, Igor"
"Atkov, Oleg","Vasyutin, Vladimir"
"Atkov, Oleg","Volkov, Alexander"
"Rakesh Sharma","Savinykh, Viktor"
"Rakesh Sharma","Berezovoy, Anatoly"
"Rakesh Sharma","Chrétien, Jean-Loup"
"Rakesh Sharma","Serebrov, Aleksandr"
"Rakesh Sharma","Lebedev, Valentin"
"Rakesh Sharma","Dzhanibekov, Vladimir"
"Rakesh Sharma","Ivanchenkov, Aleksandr"
"Rakesh Sharma","Lyakhov, Vladimir"
"Rakesh Sharma","Popov, Leonid"
"Rakesh Sharma","Malyshev, Yuri"
"Rakesh Sharma","Kizim, Leonid"
"Rakesh Sharma","Strekalov, Gennadi"
"Rakesh Sharma","Savitskaya, Svetlana"
"Rakesh Sharma","Aleksandrov, Aleksandr"
"Rakesh Sharma","Solovyov, Vladimir"
"Rakesh Sharma","Atkov, Oleg"
"Rakesh Sharma","Volk, Igor"
"Rakesh Sharma","Vasyutin, Vladimir"
"Rakesh Sharma","Volkov, Alexander"
"Volk, Igor","Savinykh, Viktor"
"Volk, Igor","Berezovoy, Anatoly"
"Volk, Igor","Chrétien, Jean-Loup"
"Volk, Igor","Serebrov, Aleksandr"
"Volk, Igor","Lebedev, Valentin"
"Volk, Igor","Dzhanibekov, Vladimir"
"Volk, Igor","Ivanchenkov, Aleksandr"
"Volk, Igor","Lyakhov, Vladimir"
"Volk, Igor","Popov, Leonid"
"Volk, Igor","Malyshev, Yuri"
"Volk, Igor","Kizim, Leonid"
"Volk, Igor","Strekalov, Gennadi"
"Volk, Igor","Savitskaya, Svetlana"
"Volk, Igor","Aleksandrov, Aleksandr"
"Volk, Igor","Solovyov, Vladimir"
"Volk, Igor","Atkov, Oleg"
"Volk, Igor","Rakesh Sharma"
"Volk, Igor","Vasyutin, Vladimir"
"Volk, Igor","Volkov, Alexander"
"Vasyutin, Vladimir","Savinykh, Viktor"
"Vasyutin, Vladimir","Berezovoy, Anatoly"
"Vasyutin, Vladimir","Chrétien, Jean-Loup"
"Vasyutin, Vladimir","Serebrov, Aleksandr"
"Vasyutin, Vladimir","Lebedev, Valentin"
"Vasyutin, Vladimir","Dzhanibekov, Vladimir"
"Vasyutin, Vladimir","Ivanchenkov, Aleksandr"
"Vasyutin, Vladimir","Lyakhov, Vladimir"
"Vasyutin, Vladimir","Popov, Leonid"
"Vasyutin, Vladimir","Malyshev, Yuri"
"Vasyutin, Vladimir","Kizim, Leonid"
"Vasyutin, Vladimir","Strekalov, Gennadi"
"Vasyutin, Vladimir","Savitskaya, Svetlana"
"Vasyutin, Vladimir","Aleksandrov, Aleksandr"
"Vasyutin, Vladimir","Solovyov, Vladimir"
"Vasyutin, Vladimir","Atkov, Oleg"
"Vasyutin, Vladimir","Rakesh Sharma"
"Vasyutin, Vladimir","Volk, Igor"
"Vasyutin, Vladimir","Volkov, Alexander"
"Volkov, Alexander","Savinykh, Viktor"
"Volkov, Alexander","Berezovoy, Anatoly"
"Volkov, Alexander","Chrétien, Jean-Loup"
"Volkov, Alexander","Serebrov, Aleksandr"
"Volkov, Alexander","Lebedev, Valentin"
"Volkov, Alexander","Dzhanibekov, Vladimir"
"Volkov, Alexander","Ivanchenkov, Aleksandr"
"Volkov, Alexander","Lyakhov, Vladimir"
"Volkov, Alexander","Popov, Leonid"
"Volkov, Alexander","Malyshev, Yuri"
"Volkov, Alexander","Kizim, Leonid"
"Volkov, Alexander","Strekalov, Gennadi"
"Volkov, Alexander","Savitskaya, Svetlana"
"Volkov, Alexander","Aleksandrov, Aleksandr"
"Volkov, Alexander","Solovyov, Vladimir"
"Volkov, Alexander","Atkov, Oleg"
"Volkov, Alexander","Rakesh Sharma"
"Volkov, Alexander","Volk, Igor"
"Volkov, Alexander","Vasyutin, Vladimir"
"Nie Haisheng","Zhang, Xiaoguang"
"Nie Haisheng","Wang, Yapi"
"Zhang, Xiaoguang","Nie Haisheng"
"Zhang, Xiaoguang","Wang, Yapi"
"Wang, Yapi","Nie Haisheng"
"Wang, Yapi","Zhang, Xiaoguang"
"Jing, Haipeng","Chen, Dong"
"Chen, Dong","Jing, Haipeng"
"Fei, Junlong","Nie Haisheng"
"Nie Haisheng","Fei, Junlong"
"Zhai, Zhigang","Liu, Boming"
"Zhai, Zhigang","Jing, Haipeng"
"Liu, Boming","Zhai, Zhigang"
"Liu, Boming","Jing, Haipeng"
"Jing, Haipeng","Zhai, Zhigang"
"Jing, Haipeng","Liu, Boming"
"Jing, Haipeng","Liu, Wang"
"Jing, Haipeng","Liu, Yang"
"Liu, Wang","Jing, Haipeng"
"Liu, Wang","Liu, Yang"
"Liu, Yang","Jing, Haipeng"
"Liu, Yang","Liu, Wang"
"Conrad, Charles, Jr.","Kerwin, Joseph P."
"Kerwin, Joseph P.","Conrad, Charles, Jr."
"Bean, Alan Lavern","Lousma, Jack R."
"Bean, Alan Lavern","Garriott, Owen K."
"Lousma, Jack R.","Bean, Alan Lavern"
"Lousma, Jack R.","Garriott, Owen K."
"Garriott, Owen K.","Bean, Alan Lavern"
"Garriott, Owen K.","Lousma, Jack R."
"Carr, Gerald P.","Pogue, William R."
"Carr, Gerald P.","Gibson, Edward G."
"Pogue, William R.","Carr, Gerald P."
"Pogue, William R.","Gibson, Edward G."
"Gibson, Edward G.","Carr, Gerald P."
"Gibson, Edward G.","Pogue, William R."
"Shatalov, Vladimir","Yeliseyev, Aleksei"
"Shatalov, Vladimir","Rukavishnikov, Nikolai"
"Yeliseyev, Aleksei","Shatalov, Vladimir"
"Yeliseyev, Aleksei","Rukavishnikov, Nikolai"
"Rukavishnikov, Nikolai","Shatalov, Vladimir"
"Rukavishnikov, Nikolai","Yeliseyev, Aleksei"
"Volkov, Vladislav","Dobrovolski, Georgi"
"Volkov, Vladislav","Patsayev, Viktor"
"Dobrovolski, Georgi","Volkov, Vladislav"
"Dobrovolski, Georgi","Patsayev, Viktor"
"Patsayev, Viktor","Volkov, Vladislav"
"Patsayev, Viktor","Dobrovolski, Georgi"
"Lazarev, Vasili","Makarov, Oleg"
"Makarov, Oleg","Lazarev, Vasili"
"Klimuk, Pyotr","Lebedev, Valentin"
"Lebedev, Valentin","Klimuk, Pyotr"
"Popovich, Pavel","Artyukhin, Yuri"
"Artyukhin, Yuri","Popovich, Pavel"
"Sarafanov, Gennadi","Dyomin, Lev"
"Dyomin, Lev","Sarafanov, Gennadi"
"Filipchenko, Anatoly","Rukavishnikov, Nikolai"
"Rukavishnikov, Nikolai","Filipchenko, Anatoly"
"Leonov, Aleksei","Kubasov, Valeri"
"Kubasov, Valeri","Leonov, Aleksei"
"Volynov, Boris","Zholobov, Vitali"
"Zholobov, Vitali","Volynov, Boris"
"Bykovsky, Valery","Aksyonov, Vladimir"
"Aksyonov, Vladimir","Bykovsky, Valery"
"Zudov, Vyacheslav","Rozhdestvensky, Valery"
"Rozhdestvensky, Valery","Zudov, Vyacheslav"
"Gorbatko, Viktor","Glazkov, Yuri"
"Glazkov, Yuri","Gorbatko, Viktor"
"Kovalyonok, Vladimir","Ryumin, Valery"
"Ryumin, Valery","Kovalyonok, Vladimir"
"Makarov, Oleg","Dzhanibekov, Vladimir"
"Dzhanibekov, Vladimir","Makarov, Oleg"
"Rukavishnikov, Nikolai","Georgi Ivanov"
"Georgi Ivanov","Rukavishnikov, Nikolai"
"Kubasov, Valeri","Bertalan Farkas"
"Bertalan Farkas","Kubasov, Valeri"
"Romanenko, Yuri","Arnaldo Tamayo Mendez"
"Arnaldo Tamayo Mendez","Romanenko, Yuri"
"Jugderdemidiin Gurragchaa","Dzhanibekov, Vladimir"
"Dzhanibekov, Vladimir","Jugderdemidiin Gurragchaa"
"Yeliseyev, Aleksei","Khrunov, Yevgeny"
"Khrunov, Yevgeny","Yeliseyev, Aleksei"
"Shonin, Georgi","Kubasov, Valeri"
"Kubasov, Valeri","Shonin, Georgi"
"Filipchenko, Anatoly","Volkov, Vladislav"
"Filipchenko, Anatoly","Gorbatko, Viktor"
"Filipchenko, Anatoly","Grechko, Georgi"
"Volkov, Vladislav","Filipchenko, Anatoly"
"Volkov, Vladislav","Gorbatko, Viktor"
"Volkov, Vladislav","Grechko, Georgi"
"Gorbatko, Viktor","Filipchenko, Anatoly"
"Gorbatko, Viktor","Volkov, Vladislav"
"Gorbatko, Viktor","Grechko, Georgi"
"Grechko, Georgi","Filipchenko, Anatoly"
"Grechko, Georgi","Volkov, Vladislav"
"Grechko, Georgi","Gorbatko, Viktor"
"Shatalov, Vladimir","Yeliseyev, Aleksei"
"Yeliseyev, Aleksei","Shatalov, Vladimir"
"Nikolayev, Andriyan","Sevastyanov, Vitali"
"Sevastyanov, Vitali","Nikolayev, Andriyan"
"Strekalov, Gennadi","Serebrov, Aleksandr"
"Strekalov, Gennadi","Titov, Vladimir"
"Serebrov, Aleksandr","Strekalov, Gennadi"
"Serebrov, Aleksandr","Titov, Vladimir"
"Titov, Vladimir","Strekalov, Gennadi"
"Titov, Vladimir","Serebrov, Aleksandr"
"Musabayev, Talgat","Baturin, Yuri"
"Baturin, Yuri","Musabayev, Talgat"
"Afanasyev, Viktor Mikhaylovich","Kozeyev, Konstantin"
"Kozeyev, Konstantin","Afanasyev, Viktor Mikhaylovich"
"Mogensen, Andreas","Aidyn (Aydyn) Akanovich Aimbetov"
"Aidyn (Aydyn) Akanovich Aimbetov","Mogensen, Andreas"
"Zalyotin, Sergei","Lonchakov, Yuri"
"Lonchakov, Yuri","Zalyotin, Sergei"
"Young, John W.","Crippen, Robert L."
"Crippen, Robert L.","Young, John W."
"Parazynski, Scott E.","Rominger, Kent V."
"Parazynski, Scott E.","Chris Hadfield"
"Parazynski, Scott E.","Guidoni, Umberto"
"Parazynski, Scott E.","Ashby, Jeffrey S."
"Parazynski, Scott E.","Phillips, John L."
"Rominger, Kent V.","Parazynski, Scott E."
"Rominger, Kent V.","Chris Hadfield"
"Rominger, Kent V.","Guidoni, Umberto"
"Rominger, Kent V.","Ashby, Jeffrey S."
"Rominger, Kent V.","Phillips, John L."
"Chris Hadfield","Parazynski, Scott E."
"Chris Hadfield","Rominger, Kent V."
"Chris Hadfield","Guidoni, Umberto"
"Chris Hadfield","Ashby, Jeffrey S."
"Chris Hadfield","Phillips, John L."
"Guidoni, Umberto","Parazynski, Scott E."
"Guidoni, Umberto","Rominger, Kent V."
"Guidoni, Umberto","Chris Hadfield"
"Guidoni, Umberto","Ashby, Jeffrey S."
"Guidoni, Umberto","Phillips, John L."
"Ashby, Jeffrey S.","Parazynski, Scott E."
"Ashby, Jeffrey S.","Rominger, Kent V."
"Ashby, Jeffrey S.","Chris Hadfield"
"Ashby, Jeffrey S.","Guidoni, Umberto"
"Ashby, Jeffrey S.","Phillips, John L."
"Phillips, John L.","Parazynski, Scott E."
"Phillips, John L.","Rominger, Kent V."
"Phillips, John L.","Chris Hadfield"
"Phillips, John L.","Guidoni, Umberto"
"Phillips, John L.","Ashby, Jeffrey S."
"Voss, James S.","Helms, Susan J."
"Voss, James S.","Halsell, James D., Jr."
"Voss, James S.","Weber, Mary E."
"Voss, James S.","Horowitz, Scott J."
"Voss, James S.","Williams, Jeffrey N."
"Helms, Susan J.","Voss, James S."
"Helms, Susan J.","Halsell, James D., Jr."
"Helms, Susan J.","Weber, Mary E."
"Helms, Susan J.","Horowitz, Scott J."
"Helms, Susan J.","Williams, Jeffrey N."
"Halsell, James D., Jr.","Voss, James S."
"Halsell, James D., Jr.","Helms, Susan J."
"Halsell, James D., Jr.","Weber, Mary E."
"Halsell, James D., Jr.","Horowitz, Scott J."
"Halsell, James D., Jr.","Williams, Jeffrey N."
"Weber, Mary E.","Voss, James S."
"Weber, Mary E.","Helms, Susan J."
"Weber, Mary E.","Halsell, James D., Jr."
"Weber, Mary E.","Horowitz, Scott J."
"Weber, Mary E.","Williams, Jeffrey N."
"Horowitz, Scott J.","Voss, James S."
"Horowitz, Scott J.","Helms, Susan J."
"Horowitz, Scott J.","Halsell, James D., Jr."
"Horowitz, Scott J.","Weber, Mary E."
"Horowitz, Scott J.","Williams, Jeffrey N."
"Williams, Jeffrey N.","Voss, James S."
"Williams, Jeffrey N.","Helms, Susan J."
"Williams, Jeffrey N.","Halsell, James D., Jr."
"Williams, Jeffrey N.","Weber, Mary E."
"Williams, Jeffrey N.","Horowitz, Scott J."
"Wetherbee, James D.","Thomas, Andrew S. W."
"Wetherbee, James D.","Kelly, James M."
"Wetherbee, James D.","Richards, Paul W."
"Thomas, Andrew S. W.","Wetherbee, James D."
"Thomas, Andrew S. W.","Kelly, James M."
"Thomas, Andrew S. W.","Richards, Paul W."
"Kelly, James M.","Wetherbee, James D."
"Kelly, James M.","Thomas, Andrew S. W."
"Kelly, James M.","Richards, Paul W."
"Richards, Paul W.","Wetherbee, James D."
"Richards, Paul W.","Thomas, Andrew S. W."
"Richards, Paul W.","Kelly, James M."
"Foale, C. Michael","Nicollier, Claude"
"Foale, C. Michael","Brown, Curtis L., Jr."
"Foale, C. Michael","Smith, Steven L."
"Foale, C. Michael","Clervoy, Jean-François"
"Foale, C. Michael","Grunsfeld, John M."
"Foale, C. Michael","Kelly, Scott J."
"Nicollier, Claude","Foale, C. Michael"
"Nicollier, Claude","Brown, Curtis L., Jr."
"Nicollier, Claude","Smith, Steven L."
"Nicollier, Claude","Clervoy, Jean-François"
"Nicollier, Claude","Grunsfeld, John M."
"Nicollier, Claude","Kelly, Scott J."
"Brown, Curtis L., Jr.","Foale, C. Michael"
"Brown, Curtis L., Jr.","Nicollier, Claude"
"Brown, Curtis L., Jr.","Smith, Steven L."
"Brown, Curtis L., Jr.","Clervoy, Jean-François"
"Brown, Curtis L., Jr.","Grunsfeld, John M."
"Brown, Curtis L., Jr.","Kelly, Scott J."
"Smith, Steven L.","Foale, C. Michael"
"Smith, Steven L.","Nicollier, Claude"
"Smith, Steven L.","Brown, Curtis L., Jr."
"Smith, Steven L.","Clervoy, Jean-François"
"Smith, Steven L.","Grunsfeld, John M."
"Smith, Steven L.","Kelly, Scott J."
"Clervoy, Jean-François","Foale, C. Michael"
"Clervoy, Jean-François","Nicollier, Claude"
"Clervoy, Jean-François","Brown, Curtis L., Jr."
"Clervoy, Jean-François","Smith, Steven L."
"Clervoy, Jean-François","Grunsfeld, John M."
"Clervoy, Jean-François","Kelly, Scott J."
"Grunsfeld, John M.","Foale, C. Michael"
"Grunsfeld, John M.","Nicollier, Claude"
"Grunsfeld, John M.","Brown, Curtis L., Jr."
"Grunsfeld, John M.","Smith, Steven L."
"Grunsfeld, John M.","Clervoy, Jean-François"
"Grunsfeld, John M.","Kelly, Scott J."
"Kelly, Scott J.","Foale, C. Michael"
"Kelly, Scott J.","Nicollier, Claude"
"Kelly, Scott J.","Brown, Curtis L., Jr."
"Kelly, Scott J.","Smith, Steven L."
"Kelly, Scott J.","Clervoy, Jean-François"
"Kelly, Scott J.","Grunsfeld, John M."
"Gernhardt, Michael L.","Lindsey, Steven W."
"Gernhardt, Michael L.","Reilly, James F."
"Gernhardt, Michael L.","Kavandi, Janet L."
"Gernhardt, Michael L.","Hobaugh, Charles O."
"Lindsey, Steven W.","Gernhardt, Michael L."
"Lindsey, Steven W.","Reilly, James F."
"Lindsey, Steven W.","Kavandi, Janet L."
"Lindsey, Steven W.","Hobaugh, Charles O."
"Reilly, James F.","Gernhardt, Michael L."
"Reilly, James F.","Lindsey, Steven W."
"Reilly, James F.","Kavandi, Janet L."
"Reilly, James F.","Hobaugh, Charles O."
