"from","to"
"Afanasyev, Viktor Mikhaylovich","Kotov, Oleg"
"Afanasyev, Viktor Mikhaylovich","Anderson, Clayton C."
"Yurchikhin, Fyodor","Polyakov, Valeri"
"Yurchikhin, Fyodor","Afanasyev, Viktor Mikhaylovich"
"Yurchikhin, Fyodor","Kotov, Oleg"
"Yurchikhin, Fyodor","Anderson, Clayton C."
"Kotov, Oleg","Polyakov, Valeri"
"Kotov, Oleg","Afanasyev, Viktor Mikhaylovich"
"Kotov, Oleg","Yurchikhin, Fyodor"
"Kotov, Oleg","Anderson, Clayton C."
"Anderson, Clayton C.","Polyakov, Valeri"
"Anderson, Clayton C.","Afanasyev, Viktor Mikhaylovich"
"Anderson, Clayton C.","Yurchikhin, Fyodor"
"Anderson, Clayton C.","Kotov, Oleg"
"Malenchenko, Yuri","Musabayev, Talgat"
"Malenchenko, Yuri","Eyharts, Léopold"
"Malenchenko, Yuri","Tani, Daniel M."
"Malenchenko, Yuri","Whitson, Peggy A."
"Malenchenko, Yuri","Reisman, Garrett E."
"Musabayev, Talgat","Malenchenko, Yuri"
"Musabayev, Talgat","Eyharts, Léopold"
"Musabayev, Talgat","Tani, Daniel M."
"Musabayev, Talgat","Whitson, Peggy A."
"Musabayev, Talgat","Reisman, Garrett E."
"Eyharts, Léopold","Malenchenko, Yuri"
"Eyharts, Léopold","Musabayev, Talgat"
"Eyharts, Léopold","Tani, Daniel M."
"Eyharts, Léopold","Whitson, Peggy A."
"Eyharts, Léopold","Reisman, Garrett E."
"Tani, Daniel M.","Malenchenko, Yuri"
"Tani, Daniel M.","Musabayev, Talgat"
"Tani, Daniel M.","Eyharts, Léopold"
"Tani, Daniel M.","Whitson, Peggy A."
"Tani, Daniel M.","Reisman, Garrett E."
"Whitson, Peggy A.","Malenchenko, Yuri"
"Whitson, Peggy A.","Musabayev, Talgat"
"Whitson, Peggy A.","Eyharts, Léopold"
"Whitson, Peggy A.","Tani, Daniel M."
"Whitson, Peggy A.","Reisman, Garrett E."
"Reisman, Garrett E.","Malenchenko, Yuri"
"Reisman, Garrett E.","Musabayev, Talgat"
"Reisman, Garrett E.","Eyharts, Léopold"
"Reisman, Garrett E.","Tani, Daniel M."
"Reisman, Garrett E.","Whitson, Peggy A."
"Viktorenko, Aleksandr","Kondakova, Yelena V."
"Viktorenko, Aleksandr","Volkov, Sergei"
"Viktorenko, Aleksandr","Kononenko, Oleg D."
"Viktorenko, Aleksandr","Chamitoff, Gregory"
"Kondakova, Yelena V.","Viktorenko, Aleksandr"
"Kondakova, Yelena V.","Volkov, Sergei"
"Kondakova, Yelena V.","Kononenko, Oleg D."
"Kondakova, Yelena V.","Chamitoff, Gregory"
"Volkov, Sergei","Viktorenko, Aleksandr"
"Volkov, Sergei","Kondakova, Yelena V."
"Volkov, Sergei","Kononenko, Oleg D."
"Volkov, Sergei","Chamitoff, Gregory"
"Kononenko, Oleg D.","Viktorenko, Aleksandr"
"Kononenko, Oleg D.","Kondakova, Yelena V."
"Kononenko, Oleg D.","Volkov, Sergei"
"Kononenko, Oleg D.","Chamitoff, Gregory"
"Chamitoff, Gregory","Viktorenko, Aleksandr"
"Chamitoff, Gregory","Kondakova, Yelena V."
"Chamitoff, Gregory","Volkov, Sergei"
"Chamitoff, Gregory","Kononenko, Oleg D."
"Strekalov, Gennadi","Thagard, Norman E."
"Strekalov, Gennadi","Dezhurov, Vladimir N."
"Strekalov, Gennadi","Wakata, Koichi"
"Strekalov, Gennadi","Lonchakov, Yuri"
"Strekalov, Gennadi","Magnus, Sandra H."
"Strekalov, Gennadi","Fincke, E. Michael"
"Thagard, Norman E.","Strekalov, Gennadi"
"Thagard, Norman E.","Dezhurov, Vladimir N."
"Thagard, Norman E.","Wakata, Koichi"
"Thagard, Norman E.","Lonchakov, Yuri"
"Thagard, Norman E.","Magnus, Sandra H."
"Thagard, Norman E.","Fincke, E. Michael"
"Dezhurov, Vladimir N.","Strekalov, Gennadi"
"Dezhurov, Vladimir N.","Thagard, Norman E."
"Dezhurov, Vladimir N.","Wakata, Koichi"
"Dezhurov, Vladimir N.","Lonchakov, Yuri"
"Dezhurov, Vladimir N.","Magnus, Sandra H."
"Dezhurov, Vladimir N.","Fincke, E. Michael"
"Wakata, Koichi","Strekalov, Gennadi"
"Wakata, Koichi","Thagard, Norman E."
"Wakata, Koichi","Dezhurov, Vladimir N."
"Wakata, Koichi","Lonchakov, Yuri"
"Wakata, Koichi","Magnus, Sandra H."
"Wakata, Koichi","Fincke, E. Michael"
"Lonchakov, Yuri","Strekalov, Gennadi"
"Lonchakov, Yuri","Thagard, Norman E."
"Lonchakov, Yuri","Dezhurov, Vladimir N."
"Lonchakov, Yuri","Wakata, Koichi"
"Lonchakov, Yuri","Magnus, Sandra H."
"Lonchakov, Yuri","Fincke, E. Michael"
"Magnus, Sandra H.","Strekalov, Gennadi"
"Magnus, Sandra H.","Thagard, Norman E."
"Magnus, Sandra H.","Dezhurov, Vladimir N."
